ts_utc,lat,lon,channel,name,unit,value,status
2026-07-02T13:20:06.167+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:20:06.167+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:20:06.167+00:00,,,4040,bt_signal_strength,dBm,0,0
2026-07-02T13:20:06.167+00:00,,,4041,bt_link_quality,%,88,0
2026-07-02T13:20:07.182+00:00,,,100,road_surface_temp,degC,29.3724365234375,0
2026-07-02T13:20:07.182+00:00,,,110,ambient_temp,degC,26.442138671875,0
2026-07-02T13:20:07.182+00:00,,,120,dew_point_temp,degC,19.477825164794922,0
2026-07-02T13:20:07.182+00:00,,,200,rel_humidity_at_road_temp,%,55.30250930786133,0
2026-07-02T13:20:07.182+00:00,,,600,water_film_height,um,0.0,0
2026-07-02T13:20:07.182+00:00,,,601,water_film_surface,um,0.0,0
2026-07-02T13:20:07.182+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:20:07.182+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:20:07.182+00:00,,,820,friction,,0.8200000524520874,0
2026-07-02T13:20:07.182+00:00,,,900,road_condition,code,0,0
2026-07-02T13:20:07.182+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:20:07.182+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:20:07.182+00:00,,,4040,bt_signal_strength,dBm,0,0
2026-07-02T13:20:07.182+00:00,,,4041,bt_link_quality,%,88,0
2026-07-02T13:20:08.316+00:00,,,100,road_surface_temp,degC,29.286561965942383,0
2026-07-02T13:20:08.316+00:00,,,110,ambient_temp,degC,26.450393676757812,0
2026-07-02T13:20:08.316+00:00,,,120,dew_point_temp,degC,19.46164321899414,0
2026-07-02T13:20:08.316+00:00,,,200,rel_humidity_at_road_temp,%,55.52141571044922,0
2026-07-02T13:20:08.316+00:00,,,600,water_film_height,um,0.0,0
2026-07-02T13:20:08.316+00:00,,,601,water_film_surface,um,0.0,0
2026-07-02T13:20:08.316+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:20:08.316+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:20:08.316+00:00,,,820,friction,,0.8200000524520874,0
2026-07-02T13:20:08.316+00:00,,,900,road_condition,code,0,0
2026-07-02T13:20:08.316+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:20:08.316+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:20:08.316+00:00,,,4040,bt_signal_strength,dBm,0,0
2026-07-02T13:20:08.316+00:00,,,4041,bt_link_quality,%,100,0
2026-07-02T13:20:09.234+00:00,,,100,road_surface_temp,degC,29.414291381835938,0
2026-07-02T13:20:09.234+00:00,,,110,ambient_temp,degC,26.450393676757812,0
2026-07-02T13:20:09.234+00:00,,,120,dew_point_temp,degC,19.44747543334961,0
2026-07-02T13:20:09.234+00:00,,,200,rel_humidity_at_road_temp,%,55.06522750854492,0
2026-07-02T13:20:09.234+00:00,,,600,water_film_height,um,0.0,0
2026-07-02T13:20:09.234+00:00,,,601,water_film_surface,um,0.0,0
2026-07-02T13:20:09.234+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:20:09.234+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:20:09.234+00:00,,,820,friction,,0.8200000524520874,0
2026-07-02T13:20:09.234+00:00,,,900,road_condition,code,0,0
2026-07-02T13:20:09.234+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:20:09.234+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:20:09.234+00:00,,,4040,bt_signal_strength,dBm,0,0
2026-07-02T13:20:09.234+00:00,,,4041,bt_link_quality,%,100,0
2026-07-02T13:20:10.147+00:00,,,100,road_surface_temp,degC,29.435569763183594,0
2026-07-02T13:20:10.147+00:00,,,110,ambient_temp,degC,26.45865249633789,0
2026-07-02T13:20:10.147+00:00,,,120,dew_point_temp,degC,19.44747543334961,0
2026-07-02T13:20:10.147+00:00,,,200,rel_humidity_at_road_temp,%,54.99769592285156,0
2026-07-02T13:20:10.147+00:00,,,600,water_film_height,um,0.0,0
2026-07-02T13:20:10.147+00:00,,,601,water_film_surface,um,0.0,0
2026-07-02T13:20:10.147+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:20:10.147+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:20:10.147+00:00,,,820,friction,,0.8200000524520874,0
2026-07-02T13:20:10.147+00:00,,,900,road_condition,code,0,0
2026-07-02T13:20:10.147+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:20:10.147+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:20:10.147+00:00,,,4040,bt_signal_strength,dBm,0,0
2026-07-02T13:20:10.147+00:00,,,4041,bt_link_quality,%,100,0
2026-07-02T13:20:11.258+00:00,,,100,road_surface_temp,degC,29.414291381835938,0
2026-07-02T13:20:11.258+00:00,,,110,ambient_temp,degC,26.45865249633789,0
2026-07-02T13:20:11.258+00:00,,,120,dew_point_temp,degC,19.44747543334961,0
2026-07-02T13:20:11.258+00:00,,,200,rel_humidity_at_road_temp,%,55.06522750854492,0
2026-07-02T13:20:11.258+00:00,,,600,water_film_height,um,0.0,0
2026-07-02T13:20:11.258+00:00,,,601,water_film_surface,um,0.0,0
2026-07-02T13:20:11.258+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:20:11.258+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:20:11.258+00:00,,,820,friction,,0.8200000524520874,0
2026-07-02T13:20:11.258+00:00,,,900,road_condition,code,0,0
2026-07-02T13:20:11.258+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:20:11.258+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:20:11.258+00:00,,,4040,bt_signal_strength,dBm,0,0
2026-07-02T13:20:11.258+00:00,,,4041,bt_link_quality,%,100,0
2026-07-02T13:20:12.174+00:00,,,100,road_surface_temp,degC,29.414291381835938,0
2026-07-02T13:20:12.174+00:00,,,110,ambient_temp,degC,26.45865249633789,0
2026-07-02T13:20:12.174+00:00,,,120,dew_point_temp,degC,19.44747543334961,0
2026-07-02T13:20:12.174+00:00,,,200,rel_humidity_at_road_temp,%,55.06522750854492,0
2026-07-02T13:20:12.174+00:00,,,600,water_film_height,um,0.0,0
2026-07-02T13:20:12.174+00:00,,,601,water_film_surface,um,0.0,0
2026-07-02T13:20:12.174+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:20:12.174+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:20:12.174+00:00,,,820,friction,,0.8200000524520874,0
2026-07-02T13:20:12.174+00:00,,,900,road_condition,code,0,0
2026-07-02T13:20:12.174+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:20:12.174+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:20:12.174+00:00,,,4040,bt_signal_strength,dBm,0,0
2026-07-02T13:20:12.174+00:00,,,4041,bt_link_quality,%,100,0
2026-07-02T13:20:13.291+00:00,,,100,road_surface_temp,degC,29.414291381835938,0
2026-07-02T13:20:13.291+00:00,,,110,ambient_temp,degC,26.462779998779297,0
2026-07-02T13:20:13.291+00:00,,,120,dew_point_temp,degC,19.44747543334961,0
2026-07-02T13:20:13.291+00:00,,,200,rel_humidity_at_road_temp,%,55.06522750854492,0
2026-07-02T13:20:13.291+00:00,,,600,water_film_height,um,0.0,0
2026-07-02T13:20:13.291+00:00,,,601,water_film_surface,um,0.0,0
2026-07-02T13:20:13.291+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:20:13.291+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:20:13.291+00:00,,,820,friction,,0.8200000524520874,0
2026-07-02T13:20:13.291+00:00,,,900,road_condition,code,0,0
2026-07-02T13:20:13.291+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:20:13.291+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:20:13.291+00:00,,,4040,bt_signal_strength,dBm,0,0
2026-07-02T13:20:13.291+00:00,,,4041,bt_link_quality,%,100,0
2026-07-02T13:20:14.318+00:00,,,100,road_surface_temp,degC,29.32914924621582,0
2026-07-02T13:20:14.318+00:00,,,110,ambient_temp,degC,26.466907501220703,0
2026-07-02T13:20:14.318+00:00,,,120,dew_point_temp,degC,19.453548431396484,0
2026-07-02T13:20:14.318+00:00,,,200,rel_humidity_at_road_temp,%,55.357261657714844,0
2026-07-02T13:20:14.318+00:00,,,600,water_film_height,um,0.0,0
2026-07-02T13:20:14.318+00:00,,,601,water_film_surface,um,0.0,0
2026-07-02T13:20:14.318+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:20:14.318+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:20:14.318+00:00,,,820,friction,,0.8200000524520874,0
2026-07-02T13:20:14.318+00:00,,,900,road_condition,code,0,0
2026-07-02T13:20:14.318+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:20:14.318+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:20:14.318+00:00,,,4040,bt_signal_strength,dBm,0,0
2026-07-02T13:20:14.318+00:00,,,4041,bt_link_quality,%,100,0
2026-07-02T13:20:15.361+00:00,,,100,road_surface_temp,degC,29.201385498046875,0
2026-07-02T13:20:15.361+00:00,,,110,ambient_temp,degC,26.462778091430664,0
2026-07-02T13:20:15.361+00:00,,,120,dew_point_temp,degC,19.453548431396484,0
2026-07-02T13:20:15.361+00:00,,,200,rel_humidity_at_road_temp,%,55.767127990722656,0
2026-07-02T13:20:15.361+00:00,,,600,water_film_height,um,0.0,0
2026-07-02T13:20:15.361+00:00,,,601,water_film_surface,um,0.0,0
2026-07-02T13:20:15.361+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:20:15.361+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:20:15.361+00:00,,,820,friction,,0.8200000524520874,0
2026-07-02T13:20:15.361+00:00,,,900,road_condition,code,0,0
2026-07-02T13:20:15.361+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:20:15.361+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:20:15.361+00:00,,,4040,bt_signal_strength,dBm,0,0
2026-07-02T13:20:15.361+00:00,,,4041,bt_link_quality,%,100,0
2026-07-02T13:20:16.277+00:00,,,100,road_surface_temp,degC,29.22269630432129,0
2026-07-02T13:20:16.277+00:00,,,110,ambient_temp,degC,26.466907501220703,0
2026-07-02T13:20:16.277+00:00,,,120,dew_point_temp,degC,19.453548431396484,0
2026-07-02T13:20:16.277+00:00,,,200,rel_humidity_at_road_temp,%,55.69852828979492,0
2026-07-02T13:20:16.277+00:00,,,600,water_film_height,um,0.0,0
2026-07-02T13:20:16.277+00:00,,,601,water_film_surface,um,0.0,0
2026-07-02T13:20:16.277+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:20:16.277+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:20:16.277+00:00,,,820,friction,,0.8200000524520874,0
2026-07-02T13:20:16.277+00:00,,,900,road_condition,code,0,0
2026-07-02T13:20:16.277+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:20:16.277+00:00,,,4001,measurement_status,bitfield,0,0
